nodeName	altName	nodeAttr[nodesPresent, ]
P16070	NA	turquoise
P16150	NA	turquoise
P16157	NA	turquoise
P16284	NA	blue
P16401	NA	turquoise
P16402	NA	turquoise
P16452	NA	turquoise
P16671	NA	blue
P16930	NA	blue
P17213	NA	turquoise
P17252	NA	blue
P17301	NA	turquoise
P17858	NA	blue
P17927	NA	turquoise
P17987	NA	blue
P18031	NA	blue
P18085	NA	turquoise
P18428	NA	turquoise
P18433	NA	turquoise
P18669	NA	blue
P19013	NA	turquoise
P19086	NA	turquoise
P19256	NA	turquoise
P19367	NA	turquoise
P19397	NA	turquoise
P20073	NA	turquoise
P20338	NA	turquoise
P20339	NA	blue
P20340	NA	turquoise
P20618	NA	blue
P20645	NA	turquoise
P20701	NA	turquoise
P20929	NA	turquoise
P20963	NA	turquoise
P21333	NA	blue
P21399	NA	blue
P21926	NA	turquoise
P22314	NA	blue
P22392	NA	blue
P22528	NA	turquoise
P22531	NA	turquoise
P22694	NA	blue
P22748	NA	turquoise
P23219	NA	blue
P23229	NA	blue
P23490	NA	turquoise
P23528	NA	blue
P23634	NA	blue
P24557	NA	turquoise
P24666	NA	turquoise
P24821	NA	turquoise
P25311	NA	turquoise
P25325	NA	blue
P25445	NA	turquoise
P25786	NA	blue
P25787	NA	turquoise
P25788	NA	turquoise
P25789	NA	turquoise
P26038	NA	turquoise
P26447	NA	turquoise
P26641	NA	blue
P27105	NA	turquoise
P27348	NA	turquoise
P27487	NA	turquoise
P27701	NA	turquoise
P27824	NA	turquoise
P28062	NA	blue
P28065	NA	blue
P28066	NA	blue
P28070	NA	blue
P28072	NA	turquoise
P28161	NA	turquoise
P28482	NA	blue
P28676	NA	turquoise
P28838	NA	blue
P29144	NA	blue
P29218	NA	blue
P29350	NA	blue
P29375	NA	blue
P29401	NA	turquoise
P29965	NA	turquoise
P29972	NA	turquoise
P30041	NA	turquoise
P30085	NA	blue
P30086	NA	turquoise
P30101	NA	turquoise
P30153	NA	blue
P30203	NA	turquoise
P30273	NA	blue
P30626	NA	turquoise
P30825	NA	turquoise
P31146	NA	turquoise
P31150	NA	turquoise
P31151	NA	turquoise
P31321	NA	blue
P31323	NA	blue
P31641	NA	blue
P31645	NA	turquoise
P31939	NA	blue
P31944	NA	turquoise
P31946	NA	blue
P31948	NA	blue
P31949	NA	turquoise
P31997	NA	turquoise
P32119	NA	turquoise
P32942	NA	turquoise
P33176	NA	turquoise
P33527	NA	blue
P34932	NA	blue
P35030	NA	blue
P35237	NA	blue
P35241	NA	turquoise
P35527	NA	blue
P35580	NA	turquoise
P35606	NA	turquoise
P35613	NA	turquoise
P35813	NA	blue
P35908	NA	turquoise
P36871	NA	blue
P36873	NA	turquoise
P36959	NA	blue
P36969	NA	blue
P37837	NA	blue
P38606	NA	turquoise
P40925	NA	blue
P41240	NA	blue
P41250	NA	blue
P42768	NA	turquoise
P42892	NA	turquoise
P45974	NA	blue
P46940	NA	blue
P47755	NA	blue
P47756	NA	turquoise
P47929	NA	turquoise
P48059	NA	turquoise
P48426	NA	turquoise
P48509	NA	turquoise
P48594	NA	turquoise
P48637	NA	blue
P48643	NA	blue
P48735	NA	blue
P49281	NA	turquoise
P49327	NA	blue
P49368	NA	blue
P49588	NA	blue
P49721	NA	turquoise
P49768	NA	turquoise
P49795	NA	turquoise
P50148	NA	blue
P50395	NA	turquoise
P50453	NA	blue
P50502	NA	blue
P50570	NA	turquoise
P50851	NA	blue
P50895	NA	turquoise
P50990	NA	blue
P50991	NA	blue
P50995	NA	turquoise
P51148	NA	turquoise
P51149	NA	turquoise
P51153	NA	blue
P51452	NA	blue
P51575	NA	blue
P51659	NA	turquoise
P51809	NA	blue
P52209	NA	blue
P52306	NA	blue
P52566	NA	turquoise
P52907	NA	blue
P53801	NA	turquoise
P53990	NA	turquoise
P54577	NA	blue
P54578	NA	blue
P54709	NA	blue
P54920	NA	turquoise
P55058	NA	turquoise
P55072	NA	blue
P55160	NA	blue
P55957	NA	turquoise
P56202	NA	turquoise
P59665	NA	turquoise
P59998	NA	turquoise
P60033	NA	turquoise
P60174	NA	turquoise
P60900	NA	blue
P60953	NA	blue
P60981	NA	turquoise
P60983	NA	turquoise
P61019	NA	turquoise
P61026	NA	blue
P61077	NA	blue
P61088	NA	turquoise
P61106	NA	turquoise
P61158	NA	turquoise
P61160	NA	turquoise
P61163	NA	turquoise
P61204	NA	turquoise
P61225	NA	blue
P61421	NA	turquoise
P61586	NA	blue
P61769	NA	turquoise
P61978	NA	blue
P62136	NA	turquoise
P62140	NA	blue
P62258	NA	turquoise
P62328	NA	blue
P62495	NA	blue
P62826	NA	turquoise
P62834	NA	turquoise
P62873	NA	blue
P62879	NA	turquoise
P62937	NA	blue
P62942	NA	turquoise
P62987	NA	turquoise
P62993	NA	turquoise
P63000	NA	turquoise
P63010	NA	turquoise
P63241	NA	turquoise
P63261	NA	turquoise
P68036	NA	turquoise
P68133	NA	blue
P68871	NA	turquoise
P69891	NA	turquoise
P69905	NA	turquoise
P78509	NA	turquoise
P80723	NA	turquoise
P81605	NA	turquoise
P84085	NA	turquoise
P84095	NA	turquoise
P84243	NA	turquoise
P98172	NA	turquoise
P98194	NA	turquoise
Q00013	NA	blue
Q00610	NA	blue
Q00796	NA	turquoise
Q01082	NA	blue
Q01433	NA	blue
Q01518	NA	turquoise
Q01629	NA	turquoise
Q02413	NA	blue
Q03113	NA	turquoise
Q04695	NA	turquoise
Q04917	NA	blue
Q04941	NA	turquoise
Q05193	NA	turquoise
Q05655	NA	blue
Q06323	NA	blue
Q06830	NA	turquoise
Q07960	NA	blue
Q08188	NA	turquoise
Q08209	NA	blue
Q08431	NA	blue
Q08554	NA	turquoise
Q08722	NA	turquoise
Q0ZGT2	NA	blue
Q10567	NA	turquoise
Q10588	NA	turquoise
Q12907	NA	turquoise
Q12913	NA	blue
Q12974	NA	turquoise
Q13094	NA	turquoise
Q13162	NA	blue
Q13200	NA	blue
Q13336	NA	turquoise
Q13404	NA	turquoise
Q13418	NA	turquoise
Q13423	NA	blue
Q13464	NA	blue
Q13561	NA	blue
Q13617	NA	blue
Q13618	NA	turquoise
Q13637	NA	turquoise
Q13642	NA	turquoise
Q14008	NA	blue
Q14012	NA	blue
Q14019	NA	blue
Q14156	NA	turquoise
Q14203	NA	blue
Q14240	NA	blue
Q14242	NA	turquoise
Q14247	NA	turquoise
Q14254	NA	turquoise
Q14315	NA	turquoise
Q14344	NA	turquoise
Q14392	NA	blue
Q14432	NA	blue
Q14533	NA	turquoise
Q14642	NA	blue
Q14644	NA	blue
Q14697	NA	blue
Q14699	NA	blue
Q14764	NA	turquoise
Q14766	NA	turquoise
Q14974	NA	turquoise
Q15008	NA	blue
Q15019	NA	blue
Q15149	NA	turquoise
Q15257	NA	turquoise
Q15323	NA	turquoise
Q15366	NA	blue
Q15369	NA	blue
Q15382	NA	turquoise
Q15404	NA	turquoise
Q15485	NA	turquoise
Q15517	NA	turquoise
Q15691	NA	turquoise
Q15746	NA	blue
Q15758	NA	turquoise
Q15762	NA	blue
Q15771	NA	turquoise
Q15833	NA	blue
Q15836	NA	turquoise
Q15907	NA	turquoise
Q15942	NA	turquoise
Q16531	NA	blue
Q16555	NA	blue
Q16644	NA	blue
Q16777	NA	turquoise
Q16799	NA	turquoise
Q16851	NA	blue
Q16881	NA	blue
