fromNode	toNode	weight	direction	fromAltName	toAltName
A0A0A0MRZ8	Q06323	0.0267672673402906	undirected	NA	NA
A0A0A0MRZ8	Q07960	0.0473877705389838	undirected	NA	NA
A0A0A0MRZ8	Q0ZGT2	0.0318658437104518	undirected	NA	NA
A0A0A0MRZ8	Q13561	0.0494820819271604	undirected	NA	NA
A0A0A0MRZ8	Q13617	0.0351044419861952	undirected	NA	NA
A0A0A0MRZ8	Q14008	0.0438005285746229	undirected	NA	NA
A0A0A0MRZ8	Q14012	0.0230599986533763	undirected	NA	NA
A0A0A0MRZ8	Q14240	0.0453348716982888	undirected	NA	NA
A0A0A0MRZ8	Q14392	0.0295317375914784	undirected	NA	NA
A0A0A0MRZ8	Q14432	0.0513892811107778	undirected	NA	NA
A0A0A0MRZ8	Q14554	0.0220766492065241	undirected	NA	NA
A0A0A0MRZ8	Q14699	0.0223193084319322	undirected	NA	NA
A0A0A0MRZ8	Q15008	0.0315899564882629	undirected	NA	NA
A0A0A0MRZ8	Q15746	0.0415574515682182	undirected	NA	NA
A0A0A0MRZ8	Q15762	0.0203512368813151	undirected	NA	NA
A0A0A0MRZ8	Q16555	0.0263850251078398	undirected	NA	NA
A0A0A0MRZ8	Q16644	0.0449137358119468	undirected	NA	NA
A0A0A0MRZ8	Q16851	0.0206762624197864	undirected	NA	NA
A0A0A0MRZ8	Q16881	0.0515791255476985	undirected	NA	NA
A0A0A0MRZ8	Q3LXA3	0.024473142304855	undirected	NA	NA
A0A0A0MRZ8	Q5JTZ9	0.0385411847267998	undirected	NA	NA
A0A0A0MRZ8	Q5SQ64	0.0200999610648157	undirected	NA	NA
A0A0A0MRZ8	Q684P5	0.0497525508271239	undirected	NA	NA
A0A0A0MRZ8	Q6PJF5	0.0396658146074154	undirected	NA	NA
A0A0A0MRZ8	Q6XQN6	0.0442421377258762	undirected	NA	NA
A0A0A0MRZ8	Q6YHK3	0.0267766639918331	undirected	NA	NA
A0A0A0MRZ8	Q86VP6	0.0376390322963348	undirected	NA	NA
A0A0A0MRZ8	Q8IWU2	0.022624586775168	undirected	NA	NA
A0A0A0MRZ8	Q8IY22	0.0303981968523608	undirected	NA	NA
A0A0A0MRZ8	Q8N5J2	0.0275975121015277	undirected	NA	NA
A0A0A0MRZ8	Q8NBS9	0.0299850252751966	undirected	NA	NA
A0A0A0MRZ8	Q96BY6	0.0223105510975572	undirected	NA	NA
A0A0A0MRZ8	Q96C24	0.0282767767774111	undirected	NA	NA
A0A0A0MRZ8	Q96FW1	0.0320131083588212	undirected	NA	NA
A0A0A0MRZ8	Q96G03	0.0203034592751776	undirected	NA	NA
A0A0A0MRZ8	Q96IU4	0.0602167017185412	undirected	NA	NA
A0A0A0MRZ8	Q96KP4	0.0377108067542776	undirected	NA	NA
A0A0A0MRZ8	Q99685	0.0320931476411479	undirected	NA	NA
A0A0A0MRZ8	Q99719	0.130235096168249	undirected	NA	NA
A0A0A0MRZ8	Q9C0C9	0.0335400112207442	undirected	NA	NA
A0A0A0MRZ8	Q9H2K8	0.0481609312981139	undirected	NA	NA
A0A0A0MRZ8	Q9H8W4	0.0269202440554789	undirected	NA	NA
A0A0A0MRZ8	Q9NS28	0.0343089594663957	undirected	NA	NA
A0A0A0MRZ8	Q9NTK5	0.0361997520884815	undirected	NA	NA
A0A0A0MRZ8	Q9NUQ9	0.0278405434662781	undirected	NA	NA
A0A0A0MRZ8	Q9NV96	0.0421818958582317	undirected	NA	NA
A0A0A0MRZ8	Q9P2R3	0.044017320486275	undirected	NA	NA
A0A0A0MRZ8	Q9UBQ7	0.0247136178901003	undirected	NA	NA
A0A0A0MRZ8	Q9UDY2	0.0406525306183859	undirected	NA	NA
A0A0A0MRZ8	Q9UJU6	0.0224618201970597	undirected	NA	NA
A0A0A0MRZ8	Q9Y2G3	0.0537890130019173	undirected	NA	NA
A0A0A0MRZ8	Q9Y490	0.182352533405459	undirected	NA	NA
A0M8Q6	A6NEC2	0.287839663524123	undirected	NA	NA
A0M8Q6	B0I1T2	0.134749271314479	undirected	NA	NA
A0M8Q6	O00139	0.0376414182361802	undirected	NA	NA
A0M8Q6	O00151	0.270810986226501	undirected	NA	NA
A0M8Q6	O00194	0.315197966947563	undirected	NA	NA
A0M8Q6	O00429	0.0733799724613773	undirected	NA	NA
A0M8Q6	O14618	0.224337773284448	undirected	NA	NA
A0M8Q6	O14672	0.41503962922566	undirected	NA	NA
A0M8Q6	O14745	0.446371868144557	undirected	NA	NA
A0M8Q6	O14775	0.176474453369063	undirected	NA	NA
A0M8Q6	O14818	0.317732206571902	undirected	NA	NA
A0M8Q6	O15031	0.134048753201161	undirected	NA	NA
A0M8Q6	O15144	0.287929826574622	undirected	NA	NA
A0M8Q6	O15427	0.452992232504009	undirected	NA	NA
A0M8Q6	O43150	0.137374985180376	undirected	NA	NA
A0M8Q6	O43707	0.0813827945383359	undirected	NA	NA
A0M8Q6	O60229	0.162464772925986	undirected	NA	NA
A0M8Q6	O60610	0.410911493834595	undirected	NA	NA
A0M8Q6	O60669	0.431636177151583	undirected	NA	NA
A0M8Q6	O60763	0.14064911525854	undirected	NA	NA
A0M8Q6	O75083	0.0220593320611513	undirected	NA	NA
A0M8Q6	O75116	0.102229301571333	undirected	NA	NA
A0M8Q6	O75368	0.301791510025523	undirected	NA	NA
A0M8Q6	O75390	0.128369941563584	undirected	NA	NA
A0M8Q6	O75558	0.226542976782056	undirected	NA	NA
A0M8Q6	O75608	0.321482994848787	undirected	NA	NA
A0M8Q6	O75636	0.351707630057548	undirected	NA	NA
A0M8Q6	O75874	0.222615497084482	undirected	NA	NA
A0M8Q6	O75954	0.454509612364021	undirected	NA	NA
A0M8Q6	O76074	0.0406359087233364	undirected	NA	NA
A0M8Q6	O94919	0.251381924399811	undirected	NA	NA
A0M8Q6	O95834	0.0674985277082659	undirected	NA	NA
A0M8Q6	O95858	0.0978154180800603	undirected	NA	NA
A0M8Q6	O95865	0.309500082771637	undirected	NA	NA
A0M8Q6	O95989	0.110166324120064	undirected	NA	NA
A0M8Q6	P00338	0.440122053234817	undirected	NA	NA
A0M8Q6	P00387	0.172702417773136	undirected	NA	NA
A0M8Q6	P00390	0.392867153527545	undirected	NA	NA
A0M8Q6	P00488	0.0878187289110658	undirected	NA	NA
A0M8Q6	P00491	0.167271741504271	undirected	NA	NA
A0M8Q6	P00734	0.426390048695605	undirected	NA	NA
A0M8Q6	P00738	0.0252549505437073	undirected	NA	NA
A0M8Q6	P00747	0.374746860712224	undirected	NA	NA
A0M8Q6	P01008	0.0759896231753859	undirected	NA	NA
A0M8Q6	P01009	0.388159625593422	undirected	NA	NA
A0M8Q6	P01011	0.471159535967778	undirected	NA	NA
A0M8Q6	P01024	0.394448158519926	undirected	NA	NA
A0M8Q6	P01031	0.420668143104396	undirected	NA	NA
A0M8Q6	P01116	0.206455980622134	undirected	NA	NA
A0M8Q6	P01700	0.456692650803856	undirected	NA	NA
A0M8Q6	P01834	0.0464940729369751	undirected	NA	NA
A0M8Q6	P01860	0.348565807241226	undirected	NA	NA
A0M8Q6	P01861	0.491005057472829	undirected	NA	NA
A0M8Q6	P01876	0.219684218636873	undirected	NA	NA
A0M8Q6	P01893	0.199675910412188	undirected	NA	NA
A0M8Q6	P02671	0.437584752891113	undirected	NA	NA
A0M8Q6	P02745	0.255087710197795	undirected	NA	NA
A0M8Q6	P02746	0.451150676033389	undirected	NA	NA
A0M8Q6	P02748	0.204424655748652	undirected	NA	NA
A0M8Q6	P02750	0.403296190941452	undirected	NA	NA
