nodeName	altName	nodeAttr[nodesPresent, ]
P28161	NA	turquoise
P28676	NA	turquoise
P29965	NA	turquoise
P29972	NA	turquoise
P30041	NA	turquoise
P30086	NA	turquoise
P30101	NA	turquoise
P30203	NA	turquoise
P30273	NA	turquoise
P30626	NA	turquoise
P30740	NA	turquoise
P30825	NA	turquoise
P31146	NA	turquoise
P31150	NA	turquoise
P31151	NA	turquoise
P31645	NA	turquoise
P31944	NA	turquoise
P31946	NA	turquoise
P31949	NA	turquoise
P31997	NA	turquoise
P32119	NA	turquoise
P32942	NA	turquoise
P33176	NA	turquoise
P33993	NA	green
P35241	NA	turquoise
P35527	NA	turquoise
P35556	NA	green
P35580	NA	turquoise
P35606	NA	turquoise
P35613	NA	turquoise
P35908	NA	turquoise
P36873	NA	turquoise
P36955	NA	green
P37802	NA	green
P38606	NA	turquoise
P42768	NA	turquoise
P42892	NA	turquoise
P43652	NA	green
P46940	NA	turquoise
P47756	NA	turquoise
P47929	NA	turquoise
P48059	NA	turquoise
P48426	NA	turquoise
P48509	NA	turquoise
P48594	NA	turquoise
P49281	NA	turquoise
P49721	NA	turquoise
P49747	NA	green
P49768	NA	turquoise
P49795	NA	turquoise
P50225	NA	green
P50395	NA	turquoise
P50502	NA	turquoise
P50570	NA	turquoise
P50895	NA	turquoise
P50995	NA	turquoise
P51148	NA	turquoise
P51149	NA	turquoise
P51575	NA	turquoise
P51659	NA	turquoise
P51809	NA	turquoise
P52272	NA	green
P52566	NA	turquoise
P52907	NA	turquoise
P53801	NA	turquoise
P53814	NA	green
P53990	NA	turquoise
P54920	NA	turquoise
P55058	NA	turquoise
P55957	NA	turquoise
P56202	NA	turquoise
P59665	NA	turquoise
P59998	NA	turquoise
P60033	NA	turquoise
P60660	NA	green
P60900	NA	turquoise
P60981	NA	turquoise
P60983	NA	turquoise
P61019	NA	turquoise
P61020	NA	green
P61088	NA	turquoise
P61106	NA	turquoise
P61158	NA	turquoise
P61160	NA	turquoise
P61163	NA	turquoise
P61204	NA	turquoise
P61225	NA	turquoise
P61421	NA	turquoise
P61586	NA	turquoise
P61769	NA	turquoise
P61952	NA	turquoise
P61981	NA	green
P62136	NA	turquoise
P62140	NA	turquoise
P62258	NA	turquoise
P62805	NA	turquoise
P62826	NA	turquoise
P62834	NA	turquoise
P62879	NA	turquoise
P62942	NA	turquoise
P62987	NA	turquoise
P62993	NA	turquoise
P63000	NA	turquoise
P63010	NA	turquoise
P63104	NA	green
P63218	NA	green
P63241	NA	turquoise
P63261	NA	turquoise
P68036	NA	turquoise
P68871	NA	turquoise
P69891	NA	turquoise
P69905	NA	turquoise
P78371	NA	turquoise
P78417	NA	green
P78509	NA	turquoise
P80723	NA	turquoise
P81605	NA	turquoise
P84085	NA	turquoise
P84095	NA	turquoise
P84243	NA	turquoise
P98172	NA	turquoise
P98194	NA	turquoise
Q00610	NA	turquoise
Q00722	NA	green
Q00796	NA	turquoise
Q01518	NA	turquoise
Q01629	NA	turquoise
Q01813	NA	green
Q02413	NA	turquoise
Q03113	NA	turquoise
Q04695	NA	turquoise
Q04917	NA	turquoise
Q04941	NA	turquoise
Q05193	NA	turquoise
Q05209	NA	green
Q05655	NA	turquoise
Q05682	NA	green
Q06830	NA	turquoise
Q07812	NA	green
Q08188	NA	turquoise
Q08380	NA	turquoise
Q08431	NA	turquoise
Q08554	NA	turquoise
Q08722	NA	turquoise
Q10567	NA	turquoise
Q10588	NA	turquoise
Q12846	NA	turquoise
Q12907	NA	turquoise
Q12974	NA	turquoise
Q13094	NA	turquoise
Q13336	NA	turquoise
Q13404	NA	turquoise
Q13418	NA	turquoise
Q13618	NA	turquoise
Q13637	NA	turquoise
Q13642	NA	turquoise
Q13884	NA	green
Q14156	NA	turquoise
Q14165	NA	turquoise
Q14242	NA	turquoise
Q14247	NA	turquoise
Q14254	NA	turquoise
Q14315	NA	turquoise
Q14344	NA	turquoise
Q14533	NA	turquoise
Q14554	NA	green
Q14644	NA	turquoise
Q14764	NA	turquoise
Q14766	NA	turquoise
Q14847	NA	green
Q14974	NA	turquoise
Q15149	NA	turquoise
Q15257	NA	turquoise
Q15286	NA	green
Q15323	NA	turquoise
Q15366	NA	turquoise
Q15382	NA	turquoise
Q15404	NA	turquoise
Q15485	NA	turquoise
Q15517	NA	turquoise
Q15582	NA	turquoise
Q15691	NA	turquoise
Q15758	NA	turquoise
Q15771	NA	turquoise
Q15836	NA	turquoise
Q15907	NA	turquoise
Q15942	NA	turquoise
Q16643	NA	green
Q16777	NA	turquoise
Q16799	NA	turquoise
Q27J81	NA	turquoise
Q2WGJ9	NA	turquoise
Q4G0F5	NA	turquoise
Q4KMQ2	NA	turquoise
Q53TN4	NA	turquoise
Q562R1	NA	turquoise
Q5D862	NA	turquoise
Q5JWF2	NA	turquoise
Q5T3F8	NA	turquoise
Q5T5C0	NA	turquoise
Q5T749	NA	turquoise
Q5T750	NA	turquoise
Q5VW32	NA	turquoise
Q658P3	NA	turquoise
Q6IAA8	NA	turquoise
Q6IBS0	NA	green
Q6KB66	NA	turquoise
Q6N021	NA	turquoise
Q6UB99	NA	turquoise
Q6UWD8	NA	turquoise
Q6UWL2	NA	turquoise
Q6UX06	NA	turquoise
Q6VVX0	NA	turquoise
Q6ZU15	NA	turquoise
Q6ZUX7	NA	turquoise
Q6ZVM7	NA	turquoise
Q70J99	NA	turquoise
Q7KZF4	NA	turquoise
Q7L576	NA	turquoise
Q7LBR1	NA	green
Q7Z794	NA	turquoise
Q7Z7G0	NA	turquoise
Q86T03	NA	turquoise
Q86UF1	NA	turquoise
Q86UX7	NA	turquoise
Q86Y46	NA	turquoise
Q86Y82	NA	turquoise
Q86YS3	NA	green
Q86YZ3	NA	turquoise
Q8IZP0	NA	green
Q8N128	NA	turquoise
Q8N1N4	NA	turquoise
Q8N392	NA	green
Q8N4L2	NA	turquoise
Q8N699	NA	turquoise
Q8N9U0	NA	turquoise
Q8NBF2	NA	turquoise
Q8NE00	NA	turquoise
Q8NG06	NA	turquoise
Q8NG11	NA	turquoise
Q8NHG7	NA	turquoise
Q8TF42	NA	green
Q8WUM4	NA	turquoise
Q8WUW1	NA	green
Q8WWI5	NA	turquoise
Q8WWZ8	NA	green
Q92542	NA	turquoise
Q92686	NA	turquoise
Q92734	NA	turquoise
Q92783	NA	turquoise
Q92882	NA	turquoise
Q93050	NA	turquoise
Q969P0	NA	turquoise
Q969T9	NA	turquoise
Q969X1	NA	turquoise
Q96A65	NA	turquoise
Q96AP7	NA	turquoise
Q96AX2	NA	green
Q96DZ9	NA	turquoise
Q96FN4	NA	green
Q96FZ7	NA	turquoise
Q96MK2	NA	turquoise
Q96PL5	NA	turquoise
Q96QA5	NA	turquoise
Q96QS1	NA	turquoise
Q96RI0	NA	turquoise
Q96RT1	NA	turquoise
Q96S97	NA	turquoise
Q96SJ8	NA	turquoise
Q99436	NA	green
Q99497	NA	turquoise
Q99805	NA	turquoise
Q99816	NA	turquoise
